wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,handschwMuff,WaxWinkel
81421,560417,50,150,0,0,2,0
81421,560418,50,150,0,0,2,181
81421,560422,50,200,0,0,1,180
81421,560422,50,150,0,0,1,180
147791,529476,25,65,0,0,1,180
147791,529478,25,65,0,0,3,180
147791,529480,25,65,0,0,1,180
147975,532207,15,40,0,0,2,0
147975,532210,15,40,0,0,2,0
148012,532792,25,32,0,0,7,270
148012,532793,25,32,0,0,7,270
148012,532793,25,32,0,0,7,270
148012,532795,25,32,0,0,7,270
148012,532800,15,32,0,0,1,0
148012,532800,25,32,0,0,1,0
148041,533343,15,32,0,0,1,0
148041,533343,20,32,0,0,1,270
148041,533344,15,32,0,0,1,0
148041,533344,20,32,0,0,1,270
148041,533345,15,32,0,0,1,0
148041,533345,20,32,0,0,1,270
148041,533346,15,32,0,0,1,0
148041,533346,20,32,0,0,1,270
148041,533347,15,32,0,0,1,0
148041,533347,20,32,0,0,1,270
148041,533348,15,32,0,0,1,0
148041,533348,15,32,0,0,1,0
148041,533348,20,32,0,0,1,270
148041,533348,20,32,0,0,1,270
148041,533349,15,32,0,0,1,0
148041,533349,20,32,0,0,1,270
148041,533350,15,32,0,0,1,0
148041,533350,20,32,0,0,1,270
148041,533351,15,32,0,0,1,0
148041,533351,20,32,0,0,1,270
148041,533352,15,32,0,0,1,0
148041,533352,20,32,0,0,1,270
148041,533353,15,32,0,0,1,270
148041,533353,20,32,0,0,1,180
148041,533354,25,32,0,0,1,180
148041,533355,25,32,0,0,1,180
148041,533355,25,32,0,0,1,180
148045,533408,20,32,0,0,10,0
148045,533408,20,32,0,0,10,0
148045,533409,20,32,0,0,5,0
148045,533409,20,32,0,0,5,0
148064,533644,25,50,0,0,1,0
148064,533649,25,50,0,0,2,0
148064,533650,25,50,0,0,2,0
148064,533653,25,50,0,0,1,0
148064,533654,25,50,0,0,1,0
148078,533850,20,32,0,0,1,0
148078,533851,20,32,0,0,1,270
148078,533852,20,32,0,0,1,90
148078,533852,20,32,0,0,1,90
148078,533853,20,32,0,0,1,90
148078,533853,20,32,0,0,1,270
148078,533854,20,32,0,0,2,0
148078,533854,20,32,0,0,2,0
148078,533855,20,32,0,0,2,270
148078,533855,20,32,0,0,2,270
148078,533856,20,32,0,0,1,0
148078,533857,20,32,0,0,1,270
148078,533857,20,32,0,0,1,270
148078,533858,20,32,0,0,2,270
148078,533859,20,32,0,0,1,90
148078,533860,20,32,0,0,1,0
148078,533861,20,32,0,0,1,270
148078,533861,20,32,0,0,1,270
148078,533862,20,32,0,0,1,0
148078,533862,20,32,0,0,1,0
148078,533862,20,32,0,0,1,0
148078,533863,20,32,0,0,1,0
148078,533863,20,32,0,0,1,0
148078,533863,15,32,0,0,1,0
148078,533864,20,32,0,0,1,270
148078,533864,20,32,0,0,1,270
148078,533865,20,32,0,0,1,270
148078,533865,20,32,0,0,1,270
148078,533866,20,32,0,0,1,90
148078,533866,20,32,0,0,1,90
148078,533867,20,32,0,0,1,270
148078,533868,20,32,0,0,1,270
148078,533869,20,32,0,0,1,0
148078,533870,20,32,0,0,1,0
148078,533871,15,32,0,0,1,0
148078,533871,15,32,0,0,1,0
148078,533872,20,32,0,0,1,270
148078,533872,20,32,0,0,1,90
148078,533872,20,32,0,0,1,270
148078,533873,20,32,0,0,1,270
148078,533873,20,32,0,0,1,270
148078,533874,20,32,0,0,1,270
148078,533874,20,32,0,0,1,90
148078,533875,20,32,0,0,1,270
148078,533875,20,32,0,0,1,270
148078,533876,20,32,0,0,1,270
148078,533876,20,32,0,0,1,270
148078,533877,20,32,0,0,2,270
148078,533877,20,32,0,0,2,270
148078,533877,20,32,0,0,2,270
148078,533878,20,32,0,0,1,270
148078,533879,20,32,0,0,1,0
148079,533880,15,32,0,0,1,0
148079,533881,15,32,0,0,1,0
148079,533881,15,32,0,0,1,0
148079,533882,15,32,0,0,1,0
148079,533883,15,32,0,0,1,0
148079,533883,15,32,0,0,1,0
148079,533883,15,32,0,0,1,0
148079,533884,15,32,0,0,1,0
148079,533884,15,32,0,0,1,0
148079,533885,15,32,0,0,2,0
148079,533885,15,32,0,0,2,0
148079,533886,15,32,0,0,1,0
148079,533886,15,32,0,0,1,0
148079,533887,15,32,0,0,1,0
148079,533888,15,32,0,0,1,0
148079,533888,15,32,0,0,1,0
148079,533889,15,32,0,0,4,0
148079,533889,15,32,0,0,4,0
148079,533890,15,32,0,0,4,90
148079,533890,15,32,0,0,4,90
148079,533891,15,32,0,0,2,0
148079,533891,15,32,0,0,2,0
148079,533891,15,32,0,0,2,0
148081,533893,20,32,0,0,1,0
148081,533893,20,32,0,0,1,0
148081,533894,20,32,0,0,1,90
148081,533894,20,32,0,0,1,90
148081,533895,20,32,0,0,1,270
148081,533895,20,32,0,0,1,270
148081,533896,20,32,0,0,1,270
148081,533896,20,32,0,0,1,270
148081,533897,20,32,0,0,1,270
148081,533898,20,32,0,0,1,0
148081,533899,20,32,0,0,1,270
148081,533900,20,32,0,0,1,90
148081,533900,20,32,0,0,1,90
148081,533901,20,32,0,0,1,0
148081,533902,20,32,0,0,1,270
148081,533902,20,32,0,0,1,270
148081,533903,20,32,0,0,1,0
148081,533904,20,32,0,0,1,90
148081,533905,20,32,0,0,1,90
148081,533905,20,32,0,0,1,90
148081,533905,20,32,0,0,1,90
148081,533906,20,32,0,0,1,0
148081,533907,20,32,0,0,1,180
148081,533907,20,32,0,0,1,0
148081,533908,20,32,0,0,1,0
148081,533909,20,32,0,0,1,0
148081,533910,20,32,0,0,1,90
148081,533910,20,32,0,0,1,90
148081,533911,20,32,0,0,1,90
148081,533911,20,32,0,0,1,90
148081,533912,20,32,0,0,1,90
148081,533913,20,32,0,0,1,90
148081,533913,20,32,0,0,1,90
148110,534426,15,40,0,0,2,0
148110,534427,15,40,0,0,2,0
148130,534832,25,50,0,0,40,0
148133,534854,25,50,0,0,12,0
148133,534855,25,50,0,0,2,0
148133,534856,25,50,0,0,14,0
148149,535113,20,32,0,0,1,270
148149,535114,20,32,0,0,1,0
148149,535114,20,32,0,0,1,0
148149,535115,20,32,0,0,2,90
148149,535115,20,32,0,0,2,90
148149,535115,20,32,0,0,2,90
148149,535116,20,32,0,0,1,90
148149,535116,20,32,0,0,1,90
148149,535117,20,32,0,0,1,90
148149,535117,20,32,0,0,1,90
148149,535118,20,32,0,0,1,90
148149,535118,20,32,0,0,1,90
148149,535119,20,32,0,0,10,90
148149,535120,20,32,0,0,1,270
148149,535122,15,32,0,0,1,0
148149,535123,20,32,0,0,3,90
148149,535123,20,32,0,0,3,90
148149,535123,20,32,0,0,3,90
148149,535124,20,32,0,0,1,0
148149,535124,20,32,0,0,1,0
148149,535125,20,32,0,0,1,270
148149,535125,20,32,0,0,1,270
148149,535126,20,32,0,0,1,0
148149,535126,20,32,0,0,1,180
148149,535127,20,32,0,0,1,90
148149,535128,20,32,0,0,1,180
148149,535128,20,32,0,0,1,0
148149,535128,20,32,0,0,1,0
148149,535129,20,32,0,0,2,0
148149,535129,20,32,0,0,2,0
148149,535129,20,32,0,0,2,0
148149,535130,20,32,0,0,11,0
148149,535130,20,32,0,0,11,0
148149,535131,20,32,0,0,13,90
148149,535132,20,32,0,0,1,0
148149,535133,20,32,0,0,1,0
148149,535133,20,32,0,0,1,0
148149,535134,20,32,0,0,1,0
148149,535134,20,32,0,0,1,0
148149,535135,20,32,0,0,1,270
148149,535136,20,32,0,0,1,90
148149,535137,20,32,0,0,1,90
148149,535138,20,32,0,0,1,270
148149,535139,20,32,0,0,1,270
148149,535140,20,32,0,0,1,270
148436,539685,15,32,0,0,3,0
148436,539686,15,32,0,0,3,0
148436,539687,20,32,0,0,1,0
148436,539689,20,32,0,0,1,0
148436,539690,20,32,0,0,1,0
148436,539691,15,32,0,0,1,90
148436,539692,15,32,0,0,1,270
148436,539693,20,32,0,0,1,0
148436,539694,20,32,0,0,1,180
148436,539695,20,32,0,0,1,180
148436,539697,20,32,0,0,1,180
148436,539698,15,32,0,0,1,0
148436,539699,20,32,0,0,1,180
148436,539700,20,32,0,0,1,0
148436,539701,20,32,0,0,1,180
148436,539702,20,32,0,0,1,180
148436,539703,20,32,0,0,1,0
148436,539704,20,32,0,0,5,180
148436,539705,20,32,0,0,1,180
148436,539706,20,32,0,0,1,0
148436,539707,20,32,0,0,1,180
148436,539708,20,32,0,0,1,180
148436,539709,20,32,0,0,1,180
148436,539709,20,32,0,0,1,180
148436,539710,20,32,0,0,1,180
148436,539711,20,32,0,0,1,0
148436,539712,20,32,0,0,1,0
148440,539785,20,32,0,0,3,0
148440,539786,20,32,0,0,1,0
148440,539788,20,32,0,0,3,180
148440,539792,20,32,0,0,1,180
148440,539794,20,32,0,0,1,180
148440,539795,20,32,0,0,2,0
148440,539797,20,32,0,0,2,180
148440,539798,20,32,0,0,1,0
148440,539799,20,32,0,0,1,180
148440,539802,20,32,0,0,1,0
148440,539803,20,32,0,0,1,0
148440,539804,15,32,0,0,2,90
148462,540121,15,32,0,0,2,0
148462,540122,15,32,0,0,2,0
148462,540123,15,32,0,0,2,0
148462,540124,15,32,0,0,1,0
148462,540125,15,32,0,0,1,0
148462,540126,15,32,0,0,1,0
148462,540127,15,32,0,0,1,0
148462,540128,15,32,0,0,8,0
148462,540129,15,32,0,0,8,0
148462,540130,15,32,0,0,8,0
148462,540131,15,32,0,0,8,0
148462,540132,15,32,0,0,6,0
148462,540133,15,32,0,0,6,0
148462,540134,15,32,0,0,6,0
148462,540135,15,32,0,0,8,0
148462,540137,15,32,0,0,8,0
148462,540138,15,32,0,0,6,0
148462,540140,15,32,0,0,6,0
148463,540145,25,32,0,0,2,0
148463,540145,25,32,0,0,2,0
148468,540206,15,32,0,0,3,0
148545,541360,20,32,0,0,1,0
148545,541362,20,32,0,0,1,0
148545,541363,20,32,0,0,5,0
148545,541365,20,32,0,0,1,0
148596,542034,15,50,0,0,1,0
148596,542035,15,50,0,0,1,0
148596,542036,15,50,0,0,2,0
148596,542036,25,50,0,0,2,270
148596,542037,15,50,0,0,2,0
148596,542038,15,50,0,0,1,0
148596,542038,25,50,0,0,1,90
148596,542039,15,50,0,0,1,0
148596,542040,15,50,0,0,2,0
148596,542041,15,50,0,0,1,0
148596,542041,25,50,0,0,1,90
148596,542042,15,50,0,0,1,0
148596,542043,15,50,0,0,1,0
148596,542043,25,50,0,0,1,270
148596,542044,15,50,0,0,1,0
148596,542045,15,50,0,0,1,0
148596,542045,25,50,0,0,1,90
148596,542046,15,50,0,0,1,0
148630,542609,25,50,0,0,11,180
148630,542610,25,50,0,0,11,0
148630,542611,25,50,0,0,11,180
148630,542612,25,50,0,0,11,180
148630,542613,25,50,0,0,1,0
148630,542614,25,50,0,0,6,180
148630,542615,25,50,0,0,1,0
148692,543723,20,50,0,0,1,0
148692,543727,20,50,0,0,1,0
148692,543729,20,50,0,0,1,180
148692,543730,20,50,0,0,1,180
148692,543731,20,50,0,0,1,180
148692,543731,20,50,0,0,1,180
148692,543732,20,50,0,0,1,0
148692,543732,20,50,0,0,1,0
148692,543732,20,50,0,0,1,0
148692,543732,20,50,0,0,1,0
148692,543733,20,50,0,0,1,180
148692,543734,20,50,0,0,2,180
148692,543735,20,50,0,0,4,180
148692,543735,20,50,0,0,4,180
148692,543736,20,50,0,0,1,180
148692,543737,20,50,0,0,2,0
148692,543738,20,50,0,0,1,180
148692,543739,20,50,0,0,1,180
148692,543740,20,50,0,0,2,180
148692,543741,20,50,0,0,1,180
148692,543741,20,50,0,0,1,180
148692,543742,20,50,0,0,2,180
148692,543743,20,50,0,0,1,180
148692,543743,20,50,0,0,1,180
148692,543744,20,50,0,0,1,0
148692,543744,20,50,0,0,1,0
148692,543745,20,50,0,0,1,0
148692,543746,20,50,0,0,2,0
148692,543746,20,50,0,0,2,0
148692,543747,20,50,0,0,1,0
148692,543748,20,50,0,0,1,180
148692,543749,20,50,0,0,1,180
148692,543750,20,50,0,0,1,180
148692,543751,20,50,0,0,1,180
148695,543777,20,50,0,0,1,0
148695,543779,25,50,0,0,2,0
148695,543779,25,50,0,0,2,0
148695,543780,25,50,0,0,2,0
148695,543780,25,50,0,0,2,0
148695,543781,25,50,0,0,1,0
148695,543781,25,50,0,0,1,0
148695,543781,25,50,0,0,1,0
148699,543848,20,32,0,0,1,0
148699,543849,20,32,0,0,1,180
148699,543850,20,32,0,0,2,180
148699,543851,20,32,0,0,5,0
148699,543852,20,32,0,0,1,0
148699,543852,20,32,0,0,1,0
148699,543853,20,32,0,0,1,0
148699,543854,20,32,0,0,1,180
148699,543855,20,32,0,0,1,0
148699,543856,20,32,0,0,1,0
148699,543856,20,32,0,0,1,180
148699,543857,20,32,0,0,2,0
148699,543858,20,32,0,0,1,0
148699,543858,20,32,0,0,1,0
148699,543859,20,32,0,0,1,180
148699,543859,20,32,0,0,1,180
148699,543860,20,32,0,0,1,0
148699,543861,20,32,0,0,1,0
148699,543862,20,32,0,0,1,0
148699,543862,20,32,0,0,1,0
148699,543862,20,32,0,0,1,0
148699,543863,20,32,0,0,1,0
148699,543863,20,32,0,0,1,180
148699,543864,20,32,0,0,1,0
148699,543864,20,32,0,0,1,0
148699,543865,20,32,0,0,1,0
148699,543866,20,32,0,0,1,0
148699,543866,20,32,0,0,1,0
148699,543867,20,32,0,0,1,0
148699,543868,20,32,0,0,1,0
148699,543869,20,32,0,0,1,0
148699,543875,20,32,0,0,1,180
148699,543877,20,32,0,0,1,0
148767,545051,20,40,0,0,8,0
148767,545052,20,40,0,0,1,0
148895,547826,15,32,0,0,6,0
148895,547828,15,32,0,0,6,0
148997,549153,15,65,0,0,2,180
148997,549153,25,65,0,0,2,270
148997,549154,15,65,0,0,2,180
148997,549154,25,65,0,0,2,270
148997,549154,25,65,0,0,2,90
148997,549155,15,65,0,0,2,180
148997,549155,25,65,0,0,2,270
148997,549156,15,65,0,0,2,180
148997,549156,25,65,0,0,2,270
148997,549156,25,65,0,0,2,90
148997,549157,15,65,0,0,2,0
148997,549157,25,65,0,0,2,90
149022,549635,20,32,0,0,4,270
149022,549636,25,32,0,0,4,0
149045,549976,15,65,0,0,1,180
149045,549976,25,65,0,0,1,270
149045,549977,15,65,0,0,1,180
149045,549977,25,65,0,0,1,90
149045,549977,25,65,0,0,1,270
149045,549978,15,65,0,0,1,180
149045,549978,25,65,0,0,1,270
149045,549981,15,65,0,0,1,180
149045,549981,25,65,0,0,1,90
149045,549981,25,65,0,0,1,270
149045,549982,15,65,0,0,1,180
149045,549982,25,65,0,0,1,270
149045,549984,15,65,0,0,1,180
149045,549984,25,65,0,0,1,90
149045,549984,25,65,0,0,1,270
149045,549985,15,65,0,0,1,180
149045,549985,25,65,0,0,1,270
149045,549986,15,65,0,0,1,180
149045,549986,25,65,0,0,1,90
149045,549986,25,65,0,0,1,270
149045,549987,15,65,0,0,1,180
149045,549987,25,65,0,0,1,270
149045,549988,15,65,0,0,1,90
149045,549988,25,65,0,0,1,0
149045,549988,25,65,0,0,1,180
149045,549989,15,65,0,0,1,270
149045,549989,25,65,0,0,1,0
149194,551912,15,50,0,0,26,180
149194,551912,15,50,0,0,26,180
149260,552764,25,40,0,0,2,0
149260,552765,25,40,0,0,4,0
149260,552766,25,40,0,0,8,0
149260,552767,25,40,0,0,4,0
149260,552768,25,40,0,0,6,0
149270,552971,15,65,0,0,2,0
149270,552971,25,65,0,0,2,90
149270,552973,15,65,0,0,2,180
149270,552973,25,65,0,0,2,90
149270,552973,25,65,0,0,2,270
149270,552974,15,65,0,0,2,180
149270,552974,25,65,0,0,2,270
149270,552976,15,65,0,0,2,180
149270,552976,25,65,0,0,2,90
149270,552976,25,65,0,0,2,270
149270,552977,15,65,0,0,2,180
149270,552977,25,65,0,0,2,270
149274,553087,32,40,0,0,72,0
149409,555154,20,40,0,0,23,0
149440,555484,15,50,0,0,5,180
149440,555484,25,50,0,0,5,90
149440,555484,25,50,0,0,5,270
149440,555485,15,50,0,0,5,180
149440,555485,25,50,0,0,5,270
149440,555486,15,50,0,0,9,180
149440,555486,25,50,0,0,9,0
149440,555487,15,50,0,0,3,180
149440,555487,25,50,0,0,3,0
149440,555488,15,50,0,0,1,180
149440,555488,25,50,0,0,1,90
149440,555488,25,50,0,0,1,270
149440,555489,15,50,0,0,1,180
149440,555489,25,50,0,0,1,270
149451,555770,25,32,0,0,8,0
149451,555771,25,32,0,0,16,0
149451,555772,25,32,0,0,64,0
149451,555773,25,32,0,0,3,0
149451,555776,25,32,0,0,16,0
149453,555782,25,32,0,0,16,0
149453,555783,25,32,0,0,16,0
149453,555784,25,32,0,0,16,180
149453,555785,25,32,0,0,16,0
149455,555792,25,32,0,0,76,0
149455,555793,25,32,0,0,18,0
149455,555794,25,32,0,0,20,0
149462,555882,20,32,0,0,4,0
149462,555883,20,32,0,0,4,0
149462,555884,20,32,0,0,4,0
149462,555885,20,32,0,0,4,0
149462,555886,20,32,0,0,4,0
149462,555887,20,32,0,0,4,0
149462,555888,20,32,0,0,4,0
149462,555889,20,32,0,0,4,0
149462,555890,20,32,0,0,4,0
149462,555891,20,32,0,0,4,0
149462,555892,20,32,0,0,4,0
149462,555893,20,32,0,0,4,0
149575,558033,32,65,0,0,1,0
149614,558857,15,32,0,0,12,0
149614,558858,15,32,0,0,12,0
149614,558859,15,32,0,0,4,0
149614,558860,15,32,0,0,4,0
149614,558861,15,32,0,0,4,0
149614,558861,15,32,0,0,4,0
149614,558862,15,32,0,0,8,0
149712,560794,15,50,0,0,1,0
149712,560795,15,50,0,0,8,0
150014,565390,32,40,0,0,1,0
150014,565391,32,40,0,0,4,0
150014,565392,32,40,0,0,1,0
150014,565392,32,40,0,0,1,0
150014,565393,32,40,0,0,1,0
150014,565394,32,40,0,0,1,0
150015,565400,32,50,0,0,12,0
150018,565413,15,32,0,0,8,0
150018,565414,15,32,0,0,8,0
150027,565640,32,50,0,0,1,270
150027,565641,32,50,0,0,1,270
150027,565642,32,50,0,0,5,270
150041,565765,20,65,0,0,28,270
150075,566465,15,32,0,0,14,0
150083,566640,15,32,0,0,8,0
150083,566641,15,32,0,0,10,0
150083,566641,20,32,0,0,10,0
150083,566642,15,32,0,0,8,0
150107,567253,10,40,0,0,2,0
150107,567253,10,40,0,0,2,0
150107,567254,10,40,0,0,1,0
150107,567254,10,40,0,0,1,0
150107,567254,10,40,0,0,1,0
150107,567255,10,40,0,0,2,0
150107,567255,10,40,0,0,2,0
150107,567256,10,40,0,0,2,0
150107,567256,10,40,0,0,2,0
150107,567256,10,40,0,0,2,0
150107,567257,10,40,0,0,1,0
150107,567257,10,40,0,0,1,0
150107,567258,10,40,0,0,1,0
150107,567258,10,40,0,0,1,0
150119,567471,50,50,0,0,42,180
150119,567471,50,50,0,0,42,180
150119,567472,50,50,0,0,42,180
150145,567956,32,50,0,0,1,0
150152,568130,40,50,0,0,10,0
150152,568130,40,50,0,0,10,0
150157,568175,40,50,0,0,2,0
150157,568175,40,50,0,0,2,0
150168,568357,20,32,0,0,1,0
150168,568358,20,32,0,0,1,0
150183,568600,20,32,0,0,1,0
150183,568602,20,32,0,0,1,0
150183,568603,20,32,0,0,1,0
150183,568604,20,32,0,0,4,0
150183,568605,20,32,0,0,1,0
150183,568606,20,32,0,0,1,0
150183,568607,20,32,0,0,1,0
150183,568612,20,32,0,0,1,0
150184,568613,15,32,0,0,2,0
150184,568614,15,32,0,0,1,0
150184,568617,15,32,0,0,1,0
150245,569422,20,40,0,0,10,0
150314,570986,20,32,0,0,2,0
150314,570986,20,32,0,0,2,0
150314,570987,20,32,0,0,1,0
150314,570987,20,32,0,0,1,0
150440,573191,32,65,0,0,4,90
150440,573193,32,65,0,0,4,90
150462,573556,20,40,0,0,1,270
150462,573556,20,40,0,0,1,270
150462,573557,20,40,0,0,1,90
150462,573557,20,40,0,0,1,90
150462,573558,20,40,0,0,1,0
150462,573559,20,40,0,0,1,90
150462,573559,20,40,0,0,1,90
150463,573560,15,40,0,0,1,270
150463,573560,15,40,0,0,1,270
150463,573561,15,40,0,0,1,270
150463,573561,15,40,0,0,1,270
150463,573562,15,40,0,0,1,270
150463,573562,15,40,0,0,1,270
150463,573563,15,40,0,0,1,270
150463,573564,15,40,0,0,1,270
150463,573565,15,40,0,0,1,270
150463,573566,15,40,0,0,4,90
150463,573566,15,40,0,0,4,90
150463,573567,15,40,0,0,1,0
150463,573567,15,40,0,0,1,0
150463,573568,15,40,0,0,1,0
150463,573568,15,40,0,0,1,0
150463,573569,15,40,0,0,1,0
150463,573569,15,40,0,0,1,0
150463,573570,15,40,0,0,3,270
150463,573570,15,40,0,0,3,270
150463,573571,15,40,0,0,1,270
150463,573571,15,40,0,0,1,270
150488,574063,25,40,0,0,4,270
150488,574064,25,40,0,0,4,90
150488,574065,25,40,0,0,1,270
150488,574066,25,40,0,0,1,90
150532,575141,25,40,0,0,2,0
150532,575142,25,40,0,0,2,0
150532,575143,25,40,0,0,2,0
150532,575144,25,40,0,0,2,0
150532,575145,25,40,0,0,2,0
150540,575250,25,32,0,0,5,0
150540,575251,25,32,0,0,1,0
150540,575252,25,32,0,0,2,0
150540,575253,25,32,0,0,1,0
150541,575254,15,40,0,0,5,0
150541,575255,15,40,0,0,1,0
150541,575255,15,40,0,0,1,0
150541,575256,15,40,0,0,1,0
150541,575257,15,40,0,0,1,0
150541,575258,15,40,0,0,5,0
150541,575259,25,40,0,0,1,0
150541,575259,15,40,0,0,1,0
150544,575267,25,50,0,0,3,0
150544,575267,25,50,0,0,3,0
150544,575268,25,50,0,0,2,0
150544,575268,25,50,0,0,2,0
150544,575269,25,50,0,0,1,0
150544,575269,25,50,0,0,1,0
150544,575269,25,50,0,0,1,0
150544,575270,25,50,0,0,2,0
150544,575271,25,50,0,0,6,0
150544,575272,25,50,0,0,1,90
150544,575272,25,50,0,0,1,270
150544,575273,25,50,0,0,1,0
150544,575274,25,50,0,0,1,0
150544,575274,25,50,0,0,1,0
150545,575275,15,50,0,0,4,0
150545,575275,15,50,0,0,4,0
150545,575276,15,50,0,0,6,0
150545,575276,15,50,0,0,6,0
150545,575277,15,50,0,0,6,0
150545,575278,15,50,0,0,11,0
150545,575278,15,50,0,0,11,0
150545,575279,15,50,0,0,1,0
150545,575279,15,50,0,0,1,0
150545,575279,15,50,0,0,1,0
150545,575280,15,50,0,0,6,0
150545,575280,15,50,0,0,6,0
150545,575281,25,50,0,0,1,180
150545,575282,15,50,0,0,1,0
150545,575282,15,50,0,0,1,0
150549,575330,20,40,0,0,30,0
150550,575332,20,32,0,0,51,0
150552,575337,15,32,0,0,54,0
150563,575459,20,40,0,0,1,90
150563,575460,20,40,0,0,1,90
150563,575462,20,40,0,0,2,90
150563,575463,20,40,0,0,9,90
150563,575465,20,40,0,0,1,270
150571,575631,20,50,0,0,12,0
150571,575632,20,50,0,0,12,0
150576,575703,32,65,0,0,6,90
150576,575704,32,65,0,0,6,90
150679,577369,20,40,0,0,2,270
150679,577369,20,40,0,0,2,270
150679,577371,20,40,0,0,1,270
150679,577371,20,40,0,0,1,270
150679,577372,20,40,0,0,1,270
150679,577372,20,40,0,0,1,270
150679,577373,20,40,0,0,1,0
150679,577374,20,40,0,0,1,90
150679,577374,20,40,0,0,1,90
150679,577374,20,40,0,0,1,270
150697,577744,15,32,0,0,18,0
150745,578705,32,50,0,0,2,45
150745,578706,32,50,0,0,2,45
150751,578795,10,40,0,0,8,0
150751,578796,10,40,0,0,7,0
150767,578944,10,40,0,0,1,0
150767,578945,10,40,0,0,1,0
150767,578946,10,40,0,0,3,0
150857,580355,15,50,0,0,3,0
150857,580359,15,50,0,0,3,0
150910,581324,25,40,0,0,1,0
150910,581326,20,40,0,0,1,0
150910,581326,20,40,0,0,1,0
150910,581326,25,40,0,0,1,90
150910,581327,20,40,0,0,1,0
150910,581327,20,40,0,0,1,0
150910,581328,25,40,0,0,1,0
150910,581328,25,40,0,0,1,0
150910,581330,25,40,0,0,1,270
150910,581331,25,40,0,0,1,0
150910,581332,25,40,0,0,1,0
150910,581333,20,40,0,0,1,0
150910,581334,25,40,0,0,1,0
150910,581336,25,40,0,0,1,180
150910,581337,20,40,0,0,1,270
150910,581338,20,40,0,0,1,270
150910,581339,20,40,0,0,1,90
150979,582546,20,32,0,0,1,0
151043,583621,20,50,0,0,10,0
151043,583622,20,50,0,0,40,0
151046,583695,25,50,0,0,16,0
151046,583696,25,50,0,0,17,0
151046,583697,25,50,0,0,9,0
151046,583698,25,50,0,0,1,0
151046,583699,25,50,0,0,4,0
151046,583700,25,50,0,0,3,0
151087,584245,25,32,0,0,1,90
151099,584537,25,65,0,0,1,0
151099,584537,25,65,0,0,1,0
151099,584538,25,65,0,0,1,90
151099,584538,25,65,0,0,1,90
151099,584539,25,65,0,0,1,90
151099,584540,25,65,0,0,1,0
151099,584540,25,65,0,0,1,0
151099,584541,25,65,0,0,1,0
151099,584541,25,65,0,0,1,0
151099,584542,25,65,0,0,1,90
151099,584543,25,65,0,0,1,0
151099,584543,25,65,0,0,1,0
151099,584544,25,65,0,0,2,270
151099,584544,25,65,0,0,2,270
151099,584545,25,65,0,0,2,270
151099,584546,25,65,0,0,1,270
151099,584547,25,65,0,0,1,0
151099,584547,25,65,0,0,1,0
151099,584548,25,65,0,0,1,270
151099,584549,25,65,0,0,1,0
151099,584549,25,65,0,0,1,0
151102,584570,25,40,0,0,1,90
151102,584571,25,40,0,0,1,0
151102,584572,25,40,0,0,14,0
151102,584573,25,40,0,0,7,0
151102,584574,25,40,0,0,1,270
151109,584624,15,50,0,0,36,0
151110,584625,15,50,0,0,36,0
151110,584625,15,50,0,0,36,0
151184,585834,15,40,0,0,1,0
151192,585900,25,65,0,0,1,0
151192,585901,25,65,0,0,1,0
151192,585902,25,65,0,0,10,0
151209,586248,20,40,0,0,5,90
151252,586925,25,32,0,0,2,0
151252,586926,25,32,0,0,2,0
151252,586927,25,32,0,0,1,0
151252,586927,25,32,0,0,1,0
151254,586969,15,32,0,0,1,0
151254,586970,15,32,0,0,1,0
151254,586971,15,32,0,0,1,0
151254,586972,15,32,0,0,1,0
151254,586973,15,32,0,0,1,0
151254,586974,15,32,0,0,1,0
151254,586975,15,32,0,0,1,0
151254,586976,15,32,0,0,1,0
151254,586977,15,32,0,0,1,0
151254,586978,15,32,0,0,1,0
151265,587149,15,32,0,0,10,0
151265,587150,15,32,0,0,10,0
151279,587599,25,50,0,0,1,0
151279,587600,25,50,0,0,1,0
151279,587601,25,50,0,0,4,0
151279,587602,25,50,0,0,4,0
151345,588758,15,32,0,0,1,180
